time,G(i),H_sun,T2m,WS10m,,Price
20160716:0911,276.22,46.52,16.34,6.98,16-07-2016,22.96
20160716:1011,276.02,51.87,16.55,7.26,16-07-2016,22.61
20160716:1111,389.77,54.57,16.75,7.54,16-07-2016,22.99
20160716:1211,771.68,53.92,16.96,7.82,16-07-2016,22.94
20160716:1311,463.24,50.11,17.17,7.66,16-07-2016,22.62
20160716:1411,642.35,44.02,17.38,7.5,16-07-2016,22.48
20160716:1511,520.08,36.57,17.59,7.34,16-07-2016,22.21
20160716:1611,324.72,28.49,17.01,7.82,16-07-2016,23.36
20160716:1711,173.14,20.27,16.42,8.29,16-07-2016,24.57
20160716:1811,33.49,12.29,15.84,8.77,16-07-2016,24.66
20160716:1911,22.61,4.91,15.17,8.44,16-07-2016,24.64
20160716:2011,0,0,14.5,8.1,16-07-2016,24.62
20160716:2111,0,0,13.83,7.77,16-07-2016,24.58
20160716:2211,0,0,13.7,7.71,16-07-2016,24.72
20160716:2311,0,0,13.57,7.66,16-07-2016,24.58
20160717:0011,0,0,13.43,7.61,17-07-2016,24.53
20160717:0111,0,0,13.27,7.4,17-07-2016,21.04
20160717:0211,0,0,13.11,7.19,17-07-2016,21.03
20160717:0311,0,0,12.94,6.98,17-07-2016,20.17
20160717:0411,30.98,7.45,13.35,7.04,17-07-2016,19.57
20160717:0511,62.55,15.09,13.75,7.11,17-07-2016,19.4
20160717:0611,221.31,23.2,14.16,7.17,17-07-2016,19.47
20160717:0711,359.6,31.42,14.42,7.18,17-07-2016,21.48
20160717:0811,536.32,39.33,14.69,7.18,17-07-2016,21.83
20160717:0911,553.23,46.36,14.95,7.19,17-07-2016,22.32
20160717:1011,556.29,51.71,14.84,7.33,17-07-2016,23.48
20160717:1111,670.32,54.4,14.73,7.47,17-07-2016,23.9
20160717:1211,608.01,53.76,14.62,7.61,17-07-2016,24.07
20160717:1311,874.79,49.97,14.8,7.59,17-07-2016,22.44
20160717:1411,576.63,43.89,14.97,7.57,17-07-2016,23.04
20160717:1511,523.96,36.45,15.14,7.54,17-07-2016,22.13
20160717:1611,339.2,28.37,15.08,7.61,17-07-2016,22.25
20160717:1711,146.11,20.14,15.02,7.67,17-07-2016,23.49
20160717:1811,57.77,12.17,14.96,7.74,17-07-2016,22.4
20160717:1911,14.23,4.78,14.5,7.38,17-07-2016,27.37
20160717:2011,0,0,14.04,7.02,17-07-2016,28.07
20160717:2111,0,0,13.58,6.66,17-07-2016,30.09
20160717:2211,0,0,13.51,6.38,17-07-2016,30.57
20160717:2311,0,0,13.44,6.09,17-07-2016,29
20160718:0011,0,0,13.36,5.81,18-07-2016,26.03
20160718:0111,0,0,13.14,5.97,18-07-2016,24.05
20160718:0211,0,0,12.92,6.13,18-07-2016,23.31
20160718:0311,0,0,12.69,6.29,18-07-2016,22.58
20160718:0411,5.86,7.29,13.18,6.4,18-07-2016,22.93
20160718:0511,15.36,14.94,13.66,6.52,18-07-2016,23.81
20160718:0611,98.47,23.05,14.14,6.63,18-07-2016,28.82
20160718:0711,121.95,31.27,14.78,6.84,18-07-2016,32.38
20160718:0811,174.62,39.18,15.42,7.05,18-07-2016,34.54
20160718:0911,147.25,46.2,16.06,7.26,18-07-2016,32.98
20160718:1011,109.31,51.54,16.01,7.59,18-07-2016,31.97
20160718:1111,151.76,54.23,15.97,7.92,18-07-2016,30.22
20160718:1211,125.57,53.6,15.92,8.25,18-07-2016,27.17
20160718:1311,188.8,49.82,16.12,7.91,18-07-2016,27.92
20160718:1411,181.58,43.75,16.33,7.57,18-07-2016,26.4
20160718:1511,375.19,36.32,16.53,7.23,18-07-2016,26.51
20160718:1611,300.56,28.24,16.33,7.14,18-07-2016,26.76
20160718:1711,169.11,20.02,16.12,7.04,18-07-2016,30.8
20160718:1811,52.75,12.03,15.91,6.95,18-07-2016,32.15
20160718:1911,25.12,4.64,15.31,6.73,18-07-2016,32.44
20160718:2011,0,0,14.72,6.5,18-07-2016,32.27
20160718:2111,0,0,14.12,6.28,18-07-2016,32.4
20160718:2211,0,0,13.98,6.09,18-07-2016,32.3
20160718:2311,0,0,13.84,5.91,18-07-2016,30.45
20160719:0011,0,0,13.7,5.72,19-07-2016,27.59
20160719:0111,0,0,13.66,5.39,19-07-2016,27.09
20160719:0211,0,0,13.61,5.05,19-07-2016,26.41
20160719:0311,0,0,13.56,4.72,19-07-2016,25.89
20160719:0411,34.33,7.13,14.19,4.48,19-07-2016,25.61
20160719:0511,86.52,14.78,14.82,4.25,19-07-2016,26.14
20160719:0611,144.78,22.9,15.45,4.01,19-07-2016,31
20160719:0711,426.13,31.12,16.45,4.11,19-07-2016,34.48
20160719:0811,406.39,39.02,17.45,4.22,19-07-2016,38.19
20160719:0911,466.52,46.03,18.45,4.32,19-07-2016,35.7
20160719:1011,936.99,51.36,18.85,4.7,19-07-2016,32.99
20160719:1111,1003.35,54.05,19.24,5.08,19-07-2016,32.91
20160719:1211,970.61,53.43,19.64,5.46,19-07-2016,31.38
20160719:1311,280.24,49.66,19.61,5.38,19-07-2016,30.91
20160719:1411,264.13,43.6,19.59,5.31,19-07-2016,30.08
20160719:1511,311.63,36.18,19.57,5.23,19-07-2016,31.28
20160719:1611,220.6,28.11,19.24,4.96,19-07-2016,32.4
20160719:1711,133,19.88,18.91,4.69,19-07-2016,35.25
20160719:1811,62.8,11.9,18.59,4.41,19-07-2016,37.46
20160719:1911,20.1,4.5,17.53,4.19,19-07-2016,35.08
20160719:2011,0,0,16.48,3.97,19-07-2016,33.88
20160719:2111,0,0,15.43,3.75,19-07-2016,34.41
20160719:2211,0,0,14.94,3.53,19-07-2016,31.91
20160719:2311,0,0,14.45,3.3,19-07-2016,27.91
20160720:0011,0,0,13.96,3.08,20-07-2016,28.01
20160720:0111,0,0,13.98,2.68,20-07-2016,26.32
20160720:0211,0,0,14,2.29,20-07-2016,25.1
20160720:0311,0,0,14.02,1.89,20-07-2016,24.79
20160720:0411,31.82,6.96,14.95,1.88,20-07-2016,24.83
20160720:0511,50.57,14.62,15.88,1.86,20-07-2016,25.85
20160720:0611,234.26,22.74,16.81,1.85,20-07-2016,29.35
20160720:0711,447.55,30.96,18.14,1.78,20-07-2016,32.71
20160720:0811,650.4,38.86,19.48,1.72,20-07-2016,35.85
20160720:0911,813.92,45.86,20.81,1.66,20-07-2016,33.99
20160720:1011,941.29,51.18,21.41,1.6,20-07-2016,32.39
20160720:1111,1003.25,53.87,22,1.54,20-07-2016,31.43
20160720:1211,989.56,53.25,22.6,1.48,20-07-2016,28.02
20160720:1311,926.99,49.49,22.86,2.12,20-07-2016,26.63
20160720:1411,786.13,43.45,23.13,2.76,20-07-2016,25.93
20160720:1511,614.6,36.04,23.4,3.41,20-07-2016,26.43
20160720:1611,395.4,27.97,22.79,4.04,20-07-2016,28.08
20160720:1711,185.32,19.74,22.19,4.68,20-07-2016,31.66
20160720:1811,54.42,11.75,21.59,5.31,20-07-2016,32.57
20160720:1911,22.61,4.35,20.51,5.64,20-07-2016,33.16
20160720:2011,0,0,19.44,5.96,20-07-2016,32.01
20160720:2111,0,0,18.37,6.29,20-07-2016,31.2
20160720:2211,0,0,18.12,6.47,20-07-2016,28.94
20160720:2311,0,0,17.87,6.66,20-07-2016,24.64
20160721:0011,0,0,17.61,6.84,21-07-2016,24.36
20160721:0111,0,0,17.65,6.86,21-07-2016,23.95
20160721:0211,0,0,17.68,6.87,21-07-2016,23.82
20160721:0311,0,0,17.71,6.88,21-07-2016,24.05
20160721:0411,33.49,6.8,18.11,6.88,21-07-2016,24.13
20160721:0511,80.33,14.46,18.51,6.88,21-07-2016,23.97
20160721:0611,154.54,22.58,18.91,6.88,21-07-2016,24.36
20160721:0711,351.52,30.8,19.58,6.57,21-07-2016,27.66
20160721:0811,578.43,38.69,20.25,6.25,21-07-2016,32.12
20160721:0911,692.1,45.69,20.92,5.93,21-07-2016,33.42
20160721:1011,518.2,51,21.2,5.51,21-07-2016,33.37
20160721:1111,666.3,53.68,21.47,5.09,21-07-2016,33.98
20160721:1211,233.55,53.06,21.75,4.68,21-07-2016,33.94
20160721:1311,676.97,49.32,21.8,4.09,21-07-2016,33.42
20160721:1411,397.86,43.29,21.85,3.51,21-07-2016,32.94
20160721:1511,306.09,35.89,21.91,2.92,21-07-2016,32.68
20160721:1611,251.82,27.82,21.31,2.64,21-07-2016,32.51
20160721:1711,112.5,19.6,20.72,2.35,21-07-2016,33.54
20160721:1811,63.63,11.6,20.13,2.07,21-07-2016,33.15
20160721:1911,5.86,4.19,19.23,1.98,21-07-2016,32.82
20160721:2011,0,0,18.34,1.89,21-07-2016,32.45
20160721:2111,0,0,17.45,1.79,21-07-2016,32.84
20160721:2211,0,0,17.26,1.67,21-07-2016,32.13
20160721:2311,0,0,17.06,1.55,21-07-2016,30.87
20160722:0011,0,0,16.86,1.43,22-07-2016,29.26
20160722:0111,0,0,16.4,1.46,22-07-2016,27.24
20160722:0211,0,0,15.93,1.48,22-07-2016,27.1
20160722:0311,0,0,15.46,1.5,22-07-2016,26.56
20160722:0411,10.05,6.62,16.22,1.21,22-07-2016,26.5
20160722:0511,14.45,14.29,16.98,0.91,22-07-2016,28.06
20160722:0611,126.53,22.41,17.74,0.62,22-07-2016,31.58
20160722:0711,139.21,30.63,18.63,0.63,22-07-2016,33.89
20160722:0811,186.67,38.52,19.53,0.65,22-07-2016,35.92
20160722:0911,271.11,45.51,20.42,0.66,22-07-2016,36
20160722:1011,258.93,50.81,20.76,0.77,22-07-2016,35.16
20160722:1111,481.83,53.48,21.1,0.87,22-07-2016,34.41
20160722:1211,467.45,52.87,21.44,0.98,22-07-2016,32.15
20160722:1311,500.04,49.14,21.77,1.09,22-07-2016,30.78
20160722:1411,556.85,43.13,22.1,1.19,22-07-2016,30.68
20160722:1511,435.65,35.74,22.42,1.3,22-07-2016,31.19
20160722:1611,169.51,27.67,21.99,1.43,22-07-2016,31.62
20160722:1711,74.98,19.45,21.56,1.55,22-07-2016,32.48
20160722:1811,51.91,11.45,21.13,1.68,22-07-2016,33.78
20160722:1911,21.77,4.03,20.28,1.57,22-07-2016,33.3
20160722:2011,0,0,19.43,1.46,22-07-2016,32.16
20160722:2111,0,0,18.58,1.35,22-07-2016,31.5
20160722:2211,0,0,17.91,1.16,22-07-2016,31.2
20160722:2311,0,0,17.24,0.97,22-07-2016,29
20160723:0011,0,0,16.56,0.79,23-07-2016,31.04
20160723:0111,0,0,16.55,0.91,23-07-2016,30.24
20160723:0211,0,0,16.54,1.03,23-07-2016,29.1
20160723:0311,0,0,16.53,1.14,23-07-2016,27.02
20160723:0411,31.82,6.45,16.95,1.27,23-07-2016,25.77
20160723:0511,79.91,14.12,17.36,1.39,23-07-2016,25.65
20160723:0611,97.32,22.25,17.78,1.52,23-07-2016,26.22
20160723:0711,118.34,30.46,18.78,1.27,23-07-2016,30.32
20160723:0811,302.32,38.34,19.78,1.03,23-07-2016,31.96
20160723:0911,770.29,45.32,20.78,0.79,23-07-2016,32.53
20160723:1011,910.59,50.61,20.81,0.87,23-07-2016,32.26
20160723:1111,969.29,53.28,20.83,0.96,23-07-2016,31.97
20160723:1211,936.31,52.68,20.86,1.05,23-07-2016,29.02
20160723:1311,891.03,48.96,20.91,0.94,23-07-2016,25.25
20160723:1411,520.81,42.96,20.96,0.83,23-07-2016,24.52
20160723:1511,581.39,35.57,21.01,0.72,23-07-2016,24.97
20160723:1611,375.54,27.52,20.88,0.59,23-07-2016,27.72
20160723:1711,153.37,19.29,20.74,0.47,23-07-2016,30.57
20160723:1811,59.45,11.29,20.61,0.34,23-07-2016,31.86
20160723:1911,20.1,3.86,19.64,0.49,23-07-2016,32.81
20160723:2011,0,0,18.68,0.64,23-07-2016,31.88
20160723:2111,0,0,17.71,0.79,23-07-2016,31.6
20160723:2211,0,0,17.38,0.8,23-07-2016,31.37
20160723:2311,0,0,17.04,0.8,23-07-2016,29.07
20160724:0011,0,0,16.7,0.81,24-07-2016,30.11
20160724:0111,0,0,16.24,0.9,24-07-2016,28.11
20160724:0211,0,0,15.77,0.98,24-07-2016,25.99
20160724:0311,0,0,15.3,1.06,24-07-2016,24.93
20160724:0411,20.93,6.27,15.81,1.2,24-07-2016,24.25
20160724:0511,37.04,13.95,16.32,1.35,24-07-2016,23.98
20160724:0611,187.33,22.08,16.83,1.49,24-07-2016,23.92
20160724:0711,267.3,30.29,18.03,1.6,24-07-2016,24.79
20160724:0811,571.39,38.17,19.23,1.72,24-07-2016,25.67
20160724:0911,620.12,45.14,20.43,1.83,24-07-2016,25.95
20160724:1011,851.67,50.41,21.12,1.84,24-07-2016,24.87
20160724:1111,860.2,53.08,21.82,1.84,24-07-2016,25.13
20160724:1211,887.5,52.48,22.51,1.85,24-07-2016,25.06
20160724:1311,753.99,48.77,22.68,1.84,24-07-2016,24.3
20160724:1411,560.24,42.78,22.85,1.84,24-07-2016,23.96
20160724:1511,319.26,35.41,23.01,1.83,24-07-2016,23.61
20160724:1611,191.22,27.35,22.66,1.46,24-07-2016,24.76
20160724:1711,121.01,19.12,22.3,1.09,24-07-2016,26.42
20160724:1811,63.63,11.12,21.94,0.72,24-07-2016,29.91
20160724:1911,19.26,3.68,20.69,1.37,24-07-2016,31.82
20160724:2011,0,0,19.45,2.03,24-07-2016,32.16
20160724:2111,0,0,18.21,2.69,24-07-2016,32.42
20160724:2211,0,0,17.96,3.06,24-07-2016,32.11
20160724:2311,0,0,17.7,3.43,24-07-2016,31
20160725:0011,0,0,17.44,3.79,25-07-2016,29.08
20160725:0111,0,0,17.19,3.81,25-07-2016,27.32
20160725:0211,0,0,16.94,3.83,25-07-2016,26.32
20160725:0311,0,0,16.68,3.85,25-07-2016,25.93
20160725:0411,4.19,6.09,17.24,3.91,25-07-2016,25.92
20160725:0511,26.2,13.77,17.79,3.98,25-07-2016,27.8
20160725:0611,162.06,21.9,18.35,4.04,25-07-2016,31.87
20160725:0711,242.41,30.12,19.12,4.21,25-07-2016,32.93
20160725:0811,340.74,37.99,19.9,4.38,25-07-2016,34.22
20160725:0911,279.9,44.94,20.67,4.55,25-07-2016,34.91
20160725:1011,218.18,50.21,20.33,4.57,25-07-2016,34.81
20160725:1111,277.38,52.87,20,4.6,25-07-2016,34.45
20160725:1211,402.52,52.27,19.66,4.62,25-07-2016,33.28
20160725:1311,642.85,48.57,19.82,4.85,25-07-2016,32.95
20160725:1411,348.01,42.6,19.98,5.07,25-07-2016,32.35
20160725:1511,392.45,35.23,20.14,5.3,25-07-2016,32.6
20160725:1611,69.56,27.18,19.64,5.51,25-07-2016,32.52
20160725:1711,84.56,18.96,19.14,5.72,25-07-2016,33.31
20160725:1811,63.63,10.94,18.65,5.93,25-07-2016,33.53
20160725:1911,5.86,3.5,17.78,5.68,25-07-2016,33.22
20160725:2011,0,0,16.92,5.43,25-07-2016,33.18
20160725:2111,0,0,16.05,5.17,25-07-2016,33.15
20160725:2211,0,0,15.79,5.3,25-07-2016,32.55
20160725:2311,0,0,15.52,5.42,25-07-2016,30.4
20160726:0011,0,0,15.25,5.54,26-07-2016,27.98
20160726:0111,0,0,15.08,5.65,26-07-2016,27.5
20160726:0211,0,0,14.9,5.76,26-07-2016,26.38
20160726:0311,0,0,14.72,5.86,26-07-2016,25.88
20160726:0411,17.58,5.9,14.92,6.01,26-07-2016,25.91
20160726:0511,44.26,13.59,15.12,6.16,26-07-2016,26.53
20160726:0611,145.43,21.72,15.32,6.3,26-07-2016,30.97
20160726:0711,400.11,29.94,15.84,6.46,26-07-2016,32.2
20160726:0811,609.98,37.8,16.37,6.61,26-07-2016,32.39
20160726:0911,654.96,44.75,16.89,6.76,26-07-2016,33.52
20160726:1011,800.66,50,17.33,6.9,26-07-2016,33.8
20160726:1111,818.41,52.65,17.76,7.04,26-07-2016,32.37
20160726:1211,574.45,52.05,18.2,7.19,26-07-2016,32.34
20160726:1311,825.86,48.37,18.21,7.23,26-07-2016,32.16
20160726:1411,758.85,42.41,18.22,7.27,26-07-2016,31.61
20160726:1511,574.81,35.05,18.23,7.31,26-07-2016,29.97
20160726:1611,370.32,27.01,17.87,7.12,26-07-2016,31.86
20160726:1711,159.49,18.78,17.51,6.93,26-07-2016,33.01
20160726:1811,63.63,10.76,17.16,6.74,26-07-2016,33.61
20160726:1911,17.58,3.32,16.26,6.25,26-07-2016,33.56
20160726:2011,0,0,15.36,5.76,26-07-2016,33.53
20160726:2111,0,0,14.46,5.27,26-07-2016,34.21
20160726:2211,0,0,14.17,5.07,26-07-2016,32.93
20160726:2311,0,0,13.88,4.86,26-07-2016,30.2
20160727:0011,0,0,13.59,4.66,27-07-2016,28.12
20160727:0111,0,0,13.55,4.73,27-07-2016,26.95
20160727:0211,0,0,13.51,4.8,27-07-2016,26.04
20160727:0311,0,0,13.46,4.87,27-07-2016,25.87
20160727:0411,5.86,5.71,14.29,5.16,27-07-2016,26
20160727:0511,76.5,13.41,15.12,5.45,27-07-2016,26.63
20160727:0611,67.75,21.54,15.95,5.74,27-07-2016,31.53
20160727:0711,215.05,29.75,16.95,6.23,27-07-2016,32.4
20160727:0811,304.33,37.61,17.94,6.72,27-07-2016,32.62
20160727:0911,433.79,44.55,18.94,7.21,27-07-2016,32.6
20160727:1011,296.3,49.79,19.05,6.98,27-07-2016,32.64
20160727:1111,258.66,52.43,19.17,6.74,27-07-2016,32.6
20160727:1211,395.9,51.83,19.28,6.51,27-07-2016,31.92
20160727:1311,339.84,48.16,18.67,6.49,27-07-2016,31.89
20160727:1411,249.23,42.21,18.06,6.46,27-07-2016,30.22
20160727:1511,137.31,34.87,17.45,6.44,27-07-2016,30.16
20160727:1611,110.21,26.83,16.96,6.84,27-07-2016,30.14
20160727:1711,47.88,18.6,16.46,7.24,27-07-2016,30.21
20160727:1811,26.79,10.58,15.96,7.64,27-07-2016,30.2
20160727:1911,2.51,3.12,15.8,7.54,27-07-2016,30.16
20160727:2011,0,0,15.65,7.45,27-07-2016,30.12
20160727:2111,0,0,15.49,7.35,27-07-2016,26.17
20160727:2211,0,0,15.41,7.17,27-07-2016,26.19
20160727:2311,0,0,15.33,6.99,27-07-2016,26.27
20160728:0011,0,0,15.24,6.81,28-07-2016,24.02
20160728:0111,0,0,14.79,6.73,28-07-2016,23.96
20160728:0211,0,0,14.34,6.65,28-07-2016,25.12
20160728:0311,0,0,13.89,6.57,28-07-2016,24.8
20160728:0411,20.93,5.52,14.31,6.49,28-07-2016,24.65
20160728:0511,58.01,13.22,14.72,6.42,28-07-2016,25.76
20160728:0611,218.67,21.36,15.13,6.34,28-07-2016,29.2
20160728:0711,426.77,29.57,15.9,6.39,28-07-2016,31.19
20160728:0811,599.39,37.42,16.66,6.44,28-07-2016,31.52
20160728:0911,507.21,44.35,17.43,6.48,28-07-2016,31.77
20160728:1011,773.48,49.57,17.66,6.4,28-07-2016,31.86
20160728:1111,158.09,52.2,17.88,6.31,28-07-2016,31.72
20160728:1211,877.39,51.61,18.11,6.22,28-07-2016,31.56
20160728:1311,850.32,47.95,18.2,5.9,28-07-2016,31.1
20160728:1411,678.31,42.01,18.29,5.59,28-07-2016,30.97
20160728:1511,557.97,34.68,18.38,5.27,28-07-2016,30.81
20160728:1611,360.87,26.64,18.11,5.11,28-07-2016,30.68
20160728:1711,175.31,18.41,17.84,4.96,28-07-2016,31.45
20160728:1811,53.59,10.39,17.58,4.8,28-07-2016,31.51
20160728:1911,15.07,2.93,16.86,4.3,28-07-2016,31.45
20160728:2011,0,0,16.15,3.8,28-07-2016,31.57
20160728:2111,0,0,15.43,3.3,28-07-2016,31.7
20160728:2211,0,0,14.73,3.2,28-07-2016,32.03
20160728:2311,0,0,14.03,3.1,28-07-2016,29.92
20160729:0011,0,0,13.33,3.01,29-07-2016,28.21
20160729:0111,0,0,13.61,3.1,29-07-2016,27.04
20160729:0211,0,0,13.89,3.2,29-07-2016,26.03
20160729:0311,0,0,14.17,3.3,29-07-2016,24.58
20160729:0411,5.02,5.32,14.79,3.51,29-07-2016,24.84
20160729:0511,25.29,13.03,15.41,3.73,29-07-2016,25.95
20160729:0611,48.78,21.17,16.03,3.94,29-07-2016,29.68
20160729:0711,101.18,29.38,16.76,3.94,29-07-2016,31.59
20160729:0811,177.71,37.23,17.48,3.93,29-07-2016,31.94
20160729:0911,118.34,44.14,18.21,3.92,29-07-2016,32.79
20160729:1011,114.73,49.35,18.04,3.64,29-07-2016,32.94
20160729:1111,106.6,51.97,17.88,3.36,29-07-2016,32.41
20160729:1211,279.9,51.38,17.71,3.08,29-07-2016,30.94
20160729:1311,342.2,47.73,17.98,3.43,29-07-2016,29.5
20160729:1411,145.44,41.81,18.25,3.78,29-07-2016,27.94
20160729:1511,251.56,34.48,18.51,4.14,29-07-2016,27.37
20160729:1611,128.37,26.45,18.08,4.03,29-07-2016,28.09
20160729:1711,42.46,18.22,17.64,3.93,29-07-2016,29.11
20160729:1811,36.84,10.19,17.2,3.82,29-07-2016,30.78
20160729:1911,8.37,2.72,16.53,3.56,29-07-2016,31.59
20160729:2011,0,0,15.86,3.3,29-07-2016,30.86
20160729:2111,0,0,15.19,3.03,29-07-2016,28.88
20160729:2211,0,0,15.01,3.37,29-07-2016,26.11
20160729:2311,0,0,14.83,3.71,29-07-2016,25.52
20160730:0011,0,0,14.65,4.06,30-07-2016,27.7
20160730:0111,0,0,14.7,4.33,30-07-2016,25.88
20160730:0211,0,0,14.75,4.6,30-07-2016,25.59
20160730:0311,0,0,14.8,4.87,30-07-2016,24.56
20160730:0411,15.91,5.12,14.97,5.1,30-07-2016,24.17
20160730:0511,51.48,12.84,15.13,5.33,30-07-2016,24.39
20160730:0611,216.9,20.98,15.3,5.56,30-07-2016,24.72
20160730:0711,260.18,29.19,15.63,5.82,30-07-2016,25.46
20160730:0811,564.08,37.03,15.95,6.07,30-07-2016,26.74
20160730:0911,735.74,43.93,16.28,6.33,30-07-2016,28.97
20160730:1011,900.53,49.13,16.5,6.76,30-07-2016,28.38
20160730:1111,946.24,51.73,16.71,7.2,30-07-2016,27.93
20160730:1211,925.19,51.14,16.93,7.63,30-07-2016,26.33
20160730:1311,879.85,47.51,16.92,7.95,30-07-2016,24.79
20160730:1411,769.2,41.59,16.9,8.27,30-07-2016,23.99
20160730:1511,435.54,34.28,16.89,8.59,30-07-2016,24.04
20160730:1611,380.36,26.25,16.53,8.63,30-07-2016,25.04
20160730:1711,164.32,18.02,16.17,8.67,30-07-2016,26.1
20160730:1811,54.42,9.99,15.81,8.7,30-07-2016,29.73
20160730:1911,12.56,2.51,15.24,8.19,30-07-2016,30.64
20160730:2011,0,0,14.68,7.68,30-07-2016,30.4
20160730:2111,0,0,14.12,7.17,30-07-2016,30.46
20160730:2211,0,0,13.89,6.78,30-07-2016,30.37
20160730:2311,0,0,13.66,6.39,30-07-2016,29.43
20160731:0011,0,0,13.43,6,31-07-2016,27.42
20160731:0111,0,0,13.28,6.09,31-07-2016,25.36
20160731:0211,0,0,13.12,6.18,31-07-2016,23.8
20160731:0311,0,0,12.96,6.28,31-07-2016,22.56
20160731:0411,20.93,4.92,13.32,6.29,31-07-2016,22.14
20160731:0511,53.59,12.64,13.68,6.3,31-07-2016,21.65
20160731:0611,132.48,20.79,14.04,6.32,31-07-2016,20.98
20160731:0711,353.28,29,14.88,6.35,31-07-2016,21.99
20160731:0811,611.82,36.83,15.71,6.39,31-07-2016,23.8
20160731:0911,784.99,43.71,16.55,6.43,31-07-2016,25.12
20160731:1011,899.62,48.9,16.81,6.51,31-07-2016,25.28
20160731:1111,874.41,51.49,17.06,6.58,31-07-2016,26.77
20160731:1211,978.98,50.9,17.32,6.66,31-07-2016,26.34
20160731:1311,861.08,47.27,17.22,6.68,31-07-2016,25.56
20160731:1411,732.86,41.37,17.12,6.69,31-07-2016,24.35
20160731:1511,572.54,34.07,17.02,6.7,31-07-2016,23.32
20160731:1611,351.49,26.05,16.75,6.72,31-07-2016,22.78
20160731:1711,169.07,17.82,16.47,6.74,31-07-2016,25.25
20160731:1811,57.77,9.78,16.19,6.76,31-07-2016,25.09
20160731:1911,11.72,2.3,15.34,6.57,31-07-2016,28.23
20160731:2011,0,0,14.5,6.37,31-07-2016,28.92
20160731:2111,0,0,13.65,6.18,31-07-2016,30.19
20160731:2211,0,0,13.51,6.25,31-07-2016,30.64
20160731:2311,0,0,13.36,6.32,31-07-2016,27.78
20160801:0011,0,0,13.21,6.39,1/8/2016,24.91
20160801:0111,0,0,13.13,6.58,1/8/2016,23.79
20160801:0211,0,0,13.05,6.78,1/8/2016,22.55
20160801:0311,0,0,12.97,6.98,1/8/2016,22.14
20160801:0411,13.4,4.71,13.53,7.23,1/8/2016,21.91
20160801:0511,69.5,12.44,14.08,7.48,1/8/2016,23.16
20160801:0611,197.36,20.6,14.64,7.72,1/8/2016,25.62
20160801:0711,399.5,28.8,15.34,7.91,1/8/2016,26.06
20160801:0811,369.03,36.62,16.04,8.09,1/8/2016,32.43
20160801:0911,380.2,43.5,16.74,8.28,1/8/2016,32.52
20160801:1011,628.32,48.66,16.89,8.36,1/8/2016,30.13
20160801:1111,231.8,51.25,17.04,8.45,1/8/2016,29.8
20160801:1211,750.83,50.66,17.19,8.54,1/8/2016,25.86
20160801:1311,851.34,47.04,16.96,8.96,1/8/2016,25.75
20160801:1411,518.43,41.15,16.74,9.38,1/8/2016,25.44
20160801:1511,518.43,33.85,16.51,9.81,1/8/2016,24.22
20160801:1611,372.39,25.84,16.16,9.6,1/8/2016,24.06
20160801:1711,97.12,17.61,15.82,9.38,1/8/2016,25.77
20160801:1811,46.89,9.57,15.47,9.17,1/8/2016,25.91
20160801:1911,8.37,2.08,14.82,8.7,1/8/2016,26.05
20160801:2011,0,0,14.16,8.23,1/8/2016,27.4
20160801:2111,0,0,13.51,7.77,1/8/2016,30.78
20160801:2211,0,0,13.4,7.63,1/8/2016,30.79
20160801:2311,0,0,13.29,7.5,1/8/2016,29.38
20160802:0011,0,0,13.18,7.37,2/8/2016,26.82
20160802:0111,0,0,12.74,7.23,2/8/2016,25.25
20160802:0211,0,0,12.3,7.09,2/8/2016,24.74
20160802:0311,0,0,11.86,6.95,2/8/2016,24.63
20160802:0411,8.37,4.5,12.44,6.86,2/8/2016,24.27
20160802:0511,33.49,12.24,13.03,6.76,2/8/2016,25.9
20160802:0611,184.4,20.4,13.61,6.66,2/8/2016,30.43
20160802:0711,272.47,28.6,14.37,6.37,2/8/2016,32.73
20160802:0811,496.84,36.41,15.14,6.07,2/8/2016,33.65
20160802:0911,783.14,43.27,15.9,5.78,2/8/2016,34.86
20160802:1011,863.31,48.42,16.36,6.08,2/8/2016,36.08
20160802:1111,971.04,50.99,16.81,6.38,2/8/2016,37.04
20160802:1211,983.77,50.4,17.27,6.68,2/8/2016,36.77
20160802:1311,908.27,46.8,17.62,6.63,2/8/2016,35
20160802:1411,757.6,40.92,17.96,6.59,2/8/2016,34.25
20160802:1511,535.14,33.63,18.31,6.55,2/8/2016,33.58
20160802:1611,370.17,25.62,17.91,6.15,2/8/2016,32.74
20160802:1711,169.8,17.39,17.52,5.74,2/8/2016,33.94
20160802:1811,39.35,9.35,17.12,5.34,2/8/2016,35.06
20160802:1911,7.54,1.85,16.5,4.68,2/8/2016,34.11
20160802:2011,0,0,15.88,4.02,2/8/2016,32.83
20160802:2111,0,0,15.26,3.37,2/8/2016,32.4
20160802:2211,0,0,14.14,3.03,2/8/2016,31.19
20160802:2311,0,0,13.03,2.7,2/8/2016,28.98
20160803:0011,0,0,11.91,2.37,3/8/2016,26.03
20160803:0111,0,0,12.19,2.65,3/8/2016,24.53
20160803:0211,0,0,12.47,2.92,3/8/2016,23.74
20160803:0311,0,0,12.75,3.2,3/8/2016,22.69
20160803:0411,17.58,4.29,13.72,4.05,3/8/2016,22.48
